asset,reason,auto_rules_triggered,kurtosis,skew,max_drawdown,outliers_gt6sigma
ALCBI.PA,explicit_list,kurtosis>=50|max_drawdown<=-0.95,95.56128758161569,6.926102442106313,-0.9866017263068164,15.0
API.L,explicit_list,kurtosis>=50|abs(skew)>=10|max_drawdown<=-0.95,559.6242177860156,-15.655749768254372,-0.9513644759880677,7.0
ASLI.L,auto_rules,kurtosis>=50,81.62117928742798,-3.884702510804409,-0.7445709502078142,9.0
BKT.MC,auto_rules,kurtosis>=50,66.52195383315741,2.9889308201052915,-0.63538277422491,4.0
BMPS.MI,explicit_list,max_drawdown<=-0.95,46.07802525066369,-1.575849019114305,-0.9999254265028986,5.0
CRE.L,explicit_list,kurtosis>=50,81.4811471131418,-3.5696232597053315,-0.5009969428570366,6.0
DOXA.ST,explicit_list,kurtosis>=50|abs(skew)>=10|max_drawdown<=-0.95,428.31672886298344,12.932206005597795,-0.9807017540496297,6.0
HMSO.L,auto_rules,max_drawdown<=-0.95,32.59734539476227,1.7662909436452652,-0.9532827138099549,11.0
IGG.L,explicit_list,kurtosis>=50,80.12661050185437,-3.334770326735234,-0.5301542232136205,7.0
IPF.L,auto_rules,max_drawdown<=-0.95,20.044382611796483,-0.7079321553240276,-0.9516345586172159,9.0
JUST.L,explicit_list,kurtosis>=50,98.02831807662797,2.999870119032123,-0.8675164954499651,7.0
LIT.L,explicit_list,kurtosis>=50,86.93451156962168,-2.8106692066298273,-0.9350530257026402,12.0
MNG.L,auto_rules,kurtosis>=50,89.52450905314562,2.051158981217306,-0.6274860009817016,11.0
MTRO.L,auto_rules,max_drawdown<=-0.95,27.81448731438549,-0.09968053865475313,-0.992871287317559,14.0
PHLL.L,explicit_list,kurtosis>=50,174.27466784252653,5.672791723646856,-0.596198283443514,9.0
SBB-B.ST,explicit_list,kurtosis>=50|abs(skew)>=10,3289.614485476835,57.353482877221325,-0.937790152655825,1.0
VANQ.L,explicit_list,kurtosis>=50|max_drawdown<=-0.95,118.54295047497395,-0.6643589976611478,-0.9857043501204875,6.0
WJG.L,explicit_list,kurtosis>=50,56.070049534663596,-2.7198661467469747,-0.9355716507379739,9.0
