,Value_Portfolio
2013-07-31,0.02409913298875145
2013-08-31,0.033406557681301845
2013-09-30,0.015267263478836678
2013-10-31,0.06037755252552687
2013-11-30,0.020011184942539492
2013-12-31,-0.003863003485855613
2014-01-31,0.02118762936501003
2014-02-28,0.01930414507122679
2014-03-31,0.04953476340905551
2014-04-30,-0.0020628840896140446
2014-05-31,0.005495806356681631
2014-06-30,-0.01640985839332835
2014-07-31,0.011336041869428553
2014-08-31,-0.004173278486354976
2014-09-30,0.03721785760605066
2014-10-31,-0.011861099604964115
2014-11-30,7.292877178960985
2014-12-31,0.002267533766875069
2015-01-31,-0.005674307032070329
2015-02-28,0.03428689386556041
2015-03-31,0.04857111736929104
2015-04-30,0.002856722128066644
2015-05-31,-0.025131912282651242
2015-06-30,0.009285304500667377
2015-07-31,0.03032561204479369
2015-08-31,-0.0264997601395675
2015-09-30,-0.023517117334306725
2015-10-31,0.027375319698885094
2015-11-30,0.020301120683645195
2015-12-31,-0.006414391923686907
2016-01-31,-0.027042979544370085
2016-02-29,-0.004032234380725627
2016-03-31,-0.0005978914066770077
2016-04-30,0.052402299563987224
2016-05-31,-0.0024525831254795724
2016-06-30,-0.015008308890058886
2016-07-31,0.024082545231731145
2016-08-31,-0.0004446496551768625
2016-09-30,-0.011720124361470812
2016-10-31,0.08906332629243618
2016-11-30,-0.004047397214724064
2016-12-31,0.07864282914085571
2017-01-31,0.013397004155960457
2017-02-28,-0.05352519789518863
2017-03-31,0.07177586920623559
2017-04-30,-0.002508805313470388
2017-05-31,-0.005777933654916871
2017-06-30,0.022153111241145926
2017-07-31,0.016633708812622352
2017-08-31,0.026155963539535886
2017-09-30,0.043544119666889175
2017-10-31,-0.045412463452703
2017-11-30,0.0018423643013714477
2017-12-31,-0.04847125567706263
2018-01-31,0.07010402838434135
2018-02-28,-0.004316432414484317
2018-03-31,-0.007242831486590794
2018-04-30,0.034732325541467705
2018-05-31,-0.08009681491255188
2018-06-30,0.03937890358518156
2018-07-31,0.06856446813623064
2018-08-31,-0.025390667496221833
2018-09-30,0.047808251185458873
2018-10-31,-0.022516701722351137
2018-11-30,0.005669007492046715
2018-12-31,-0.02410604000722181
2019-01-31,0.010738667643696152
2019-02-28,0.033164013614864304
2019-03-31,-0.028290321666350156
2019-04-30,0.04767918284016645
2019-05-31,-0.032847475746429586
2019-06-30,0.029371507932855895
2019-07-31,0.01140337223460051
2019-08-31,0.016040073912709396
2019-09-30,0.034972528345447854
2019-10-31,0.016203680660894334
2019-11-30,0.0044984296114648145
2019-12-31,-0.02116536056476168
2020-01-31,-0.012860369882176391
2020-02-29,0.022133600296752362
2020-03-31,-0.07798761424128839
2020-04-30,-0.02099694142739305
2020-05-31,-0.021392480766797065
2020-06-30,0.038867575840157584
2020-07-31,-0.018479023966368496
2020-08-31,0.0229934687508801
2020-09-30,-0.0011483447401681932
2020-10-31,-0.029729184819670837
2020-11-30,0.17699951951917045
2020-12-31,-0.07176830682185521
2021-01-31,0.0026327244701485376
2021-02-28,0.0763859671251135
2021-03-31,0.050234651062888325
2021-04-30,0.07987153985562598
2021-05-31,0.05690296516527091
2021-06-30,-0.012839331766427032
2021-07-31,0.006613495769383851
2021-08-31,0.007547923508587788
2021-09-30,0.08974615821019523
2021-10-31,0.01653093131751127
2021-11-30,-0.008743959640307719
2021-12-31,0.016845635100737957
2022-01-31,0.10442121751625277
2022-02-28,-0.005243317346931876
2022-03-31,-0.04322719619406334
2022-04-30,0.030965726111080397
2022-05-31,0.05679801307055985
2022-06-30,-0.012596071086251631
2022-07-31,-0.0323419000668646
2022-08-31,0.06393217837357228
2022-09-30,0.07782759794175874
2022-10-31,0.07452516661004276
2022-11-30,0.009042548835041575
2022-12-31,0.02588557582458547
2023-01-31,0.07670267953763868
2023-02-28,0.02752112169123855
2023-03-31,-0.0560833030340961
2023-04-30,-0.004511562339237725
2023-05-31,0.013185527805933357
2023-06-30,0.10713716738142451
2023-07-31,0.09826154857901799
2023-08-31,0.05001960289764392
2023-09-30,0.0009309806601169087
2023-10-31,0.04646601127299406
2023-11-30,0.024957616178183525
2023-12-31,-0.03305451387823737
2024-01-31,0.03829513130982825
2024-02-29,-0.0006976219283125751
2024-03-31,0.10768586694040667
2024-04-30,0.02123473483251257
2024-05-31,0.028725751625033824
2024-06-30,-0.024120708175950637
2024-07-31,0.006782317191469742
2024-08-31,0.02614001227609771
2024-09-30,0.021418685853942
2024-10-31,-0.002727415459356973
2024-11-30,-0.026618297496630507
2024-12-31,0.05459008154117423
2025-01-31,0.02340543208705735
2025-02-28,0.08226397663002005
2025-03-31,-0.004344639167978087
2025-04-30,0.03772960734706267
2025-05-31,0.043386613747459606
2025-06-30,0.013983314329619792
2025-07-31,0.004377156663467625
2025-08-31,0.023993443279145047
2025-09-30,0.006461708290997563
2025-10-31,-0.031367211263326415
